wellName,datasetName,MD,AZIM_GN,AZIM_TN,DLS,DX,DY,INCL,TVD,X,Y,Z
,,m,,,,,,,,,,
10,010,2612.5,42.273,44.087,0.665,59.448,28.285,2.747,2611.066,672283.1,5493804,-2461.406
10,010,2625,40,41.814,0.665,59.86,28.757,3,2623.55,672283.5,5493805,-2473.89
10,010,2637.5,40,41.814,0.6,60.263,29.238,2.75,2636.034,672283.9,5493806,-2486.374
10,010,2650,40,41.814,0.6,60.631,29.676,2.5,2648.521,672284.3,5493806,-2498.861
10,010,2662.5,47.5,49.314,0.783,61.005,30.067,2.479,2661.009,672284.7,5493806,-2511.349
10,010,2675,55,56.814,0.783,61.428,30.406,2.5,2673.498,672285.1,5493806,-2523.838
10,010,2687.5,52.273,54.087,0.665,61.888,30.746,2.747,2685.984,672285.6,5493807,-2536.324
10,010,2700,50,51.814,0.665,62.376,31.14,3,2698.469,672286.1,5493808,-2548.809
10,010,2712.5,47.308,49.122,0.689,62.886,31.59,3.247,2710.95,672286.6,5493808,-2561.29
10,010,2725,45,46.814,0.689,63.416,32.1,3.5,2723.429,672287.1,5493808,-2573.769
10,010,2750,45,46.814,0,64.495,33.179,3.5,2748.382,672288.1,5493810,-2598.722
10,010,2762.5,42.692,44.506,0.689,65.005,33.709,3.247,2760.86,672288.7,5493810,-2611.2
10,010,2775,40,41.814,0.689,65.455,34.22,3,2773.342,672289.1,5493810,-2623.682
10,010,2787.5,42.692,44.506,0.689,65.906,34.73,3.247,2785.823,672289.6,5493811,-2636.163
10,010,2800,45,46.814,0.689,66.416,35.26,3.5,2798.301,672290.1,5493812,-2648.641
10,010,2812.5,47.308,49.122,0.689,66.946,35.77,3.247,2810.78,672290.6,5493812,-2661.12
10,010,2825,50,51.814,0.689,67.456,36.22,3,2823.261,672291.1,5493812,-2673.601
10,010,2837.5,47.308,49.122,0.689,67.967,36.671,3.247,2835.743,672291.6,5493813,-2686.083
10,010,2850,45,46.814,0.689,68.497,37.181,3.5,2848.221,672292.2,5493814,-2698.561
10,010,2862.5,42.692,44.506,0.689,69.007,37.711,3.247,2860.699,672292.7,5493814,-2711.039
10,010,2875,40,41.814,0.689,69.457,38.221,3,2873.181,672293.1,5493814,-2723.521
10,010,2900,40,41.814,0,70.298,39.224,3,2898.146,672293.9,5493816,-2748.486
10,010,2912.5,45.385,47.199,0.905,70.76,39.722,3.238,2910.628,672294.4,5493816,-2760.968
10,010,2925,50,51.814,0.905,71.303,40.215,3.5,2923.106,672294.9,5493816,-2773.446
10,010,2937.5,44.666,46.48,0.986,71.882,40.75,3.736,2935.581,672295.6,5493817,-2785.921
10,010,2950,40,41.814,0.986,72.448,41.374,4,2948.053,672296.1,5493818,-2798.393
10,010,2962.5,37.353,39.167,0.746,73.009,42.075,4.246,2960.521,672296.7,5493818,-2810.861
10,010,2975,35,36.814,0.746,73.571,42.845,4.5,2972.984,672297.2,5493819,-2823.324
10,010,2987.5,37.5,39.314,0.471,74.151,43.635,4.496,2985.446,672297.8,5493820,-2835.786
10,010,3000,40,41.814,0.471,74.764,44.4,4.5,2997.907,672298.4,5493820,-2848.247
10,010,3012.5,40,41.814,0.6,75.377,45.13,4.25,3010.371,672299.1,5493822,-2860.711
10,010,3025,40,41.814,0.6,75.955,45.819,4,3022.838,672299.6,5493822,-2873.178
10,010,3037.5,37.5,39.314,0.418,76.5,46.498,3.996,3035.308,672300.2,5493822,-2885.648
10,010,3050,35,36.814,0.418,77.015,47.201,4,3047.778,672300.7,5493824,-2898.118
10,010,3062.5,32.667,34.48,0.716,77.486,47.902,3.746,3060.249,672301.1,5493824,-2910.589
10,010,3075,30,31.814,0.716,77.897,48.576,3.5,3072.724,672301.6,5493825,-2923.064
10,010,3087.5,30,31.814,0.6,78.292,49.26,3.75,3085.199,672301.9,5493826,-2935.539
10,010,3100,30,31.814,0.6,78.715,49.992,4,3097.671,672302.4,5493826,-2948.011
10,010,3112.5,35.294,37.108,1.071,79.199,50.746,4.234,3110.138,672302.9,5493827,-2960.478
10,010,3125,40,41.814,1.071,79.781,51.498,4.5,3122.602,672303.4,5493828,-2972.942
10,010,3137.5,40,41.814,0.6,80.394,52.229,4.25,3135.066,672304.1,5493828,-2985.406
10,010,3150,40,41.814,0.6,80.972,52.918,4,3147.533,672304.6,5493829,-2997.873
10,010,3162.5,37.353,39.167,0.746,81.533,53.619,4.246,3160.001,672305.2,5493830,-3010.341
10,010,3175,35,36.814,0.746,82.095,54.389,4.5,3172.464,672305.8,5493830,-3022.804
10,010,3187.5,32.5,34.314,0.471,82.639,55.204,4.496,3184.926,672306.3,5493832,-3035.266
10,010,3200,30,31.814,0.471,83.148,56.042,4.5,3197.388,672306.8,5493832,-3047.728
10,010,3208.333,37.115,38.929,2.064,83.513,56.591,4.602,3205.695,672307.2,5493833,-3056.035
10,010,3216.667,43.825,45.639,2.064,83.955,57.108,4.771,3214,672307.6,5493834,-3064.34
10,010,3225,50,51.814,2.064,84.473,57.591,5,3222.303,672308.1,5493834,-3072.643
10,010,3237.5,47.5,49.314,0.523,85.291,58.309,4.995,3234.756,672308.9,5493834,-3085.096
10,010,3250,45,46.814,0.523,86.078,59.062,5,3247.208,672309.8,5493836,-3097.548
10,010,3262.5,50,51.814,1.045,86.878,59.796,4.981,3259.661,672310.6,5493836,-3110.001
10,010,3275,55,56.814,1.045,87.74,60.457,5,3272.114,672311.4,5493836,-3122.454
10,010,3287.5,52.5,54.314,0.523,88.618,61.101,4.995,3284.566,672312.2,5493838,-3134.906
10,010,3300,50,51.814,0.523,89.467,61.782,5,3297.019,672313.1,5493838,-3147.359
10,010,3325,50,51.814,0,91.136,63.183,5,3321.923,672314.8,5493840,-3172.263
10,010,3350,50,51.814,0,92.805,64.583,5,3346.828,672316.4,5493841,-3197.168
10,010,3358.333,46.456,48.269,1.249,93.355,65.074,5.149,3355.129,672317,5493842,-3205.469
10,010,3366.667,43.122,44.935,1.249,93.89,65.614,5.316,3363.428,672317.6,5493842,-3213.768
10,010,3375,40,41.814,1.249,94.41,66.201,5.5,3371.724,672318.1,5493842,-3222.064
10,010,3400,40,41.814,0,95.95,68.037,5.5,3396.609,672319.6,5493844,-3246.949
10,010,3408.333,38.548,40.362,1.308,96.441,68.636,5.163,3404.906,672320.1,5493845,-3255.246
10,010,3416.667,36.896,38.709,1.308,96.885,69.21,4.829,3413.208,672320.6,5493846,-3263.548
10,010,3425,35,36.814,1.308,97.283,69.758,4.5,3421.513,672320.9,5493846,-3271.853
10,010,3437.5,32.5,34.314,0.471,97.827,70.573,4.496,3433.975,672321.5,5493847,-3284.315
10,010,3450,30,31.814,0.471,98.336,71.411,4.5,3446.437,672322,5493848,-3296.777
10,010,3462.5,27.369,29.182,0.778,98.819,72.294,4.746,3458.896,672322.5,5493848,-3309.236
10,010,3475,25,26.814,0.778,99.286,73.247,5,3471.351,672322.9,5493850,-3321.691
10,010,3487.5,27.5,29.314,0.523,99.768,74.224,4.995,3483.803,672323.4,5493850,-3334.143
10,010,3500,30,31.814,0.523,100.292,75.178,5,3496.256,672323.9,5493852,-3346.596
10,010,3512.5,30,31.814,0.6,100.85,76.145,5.25,3508.706,672324.5,5493852,-3359.046
10,010,3525,30,31.814,0.6,101.435,77.159,5.5,3521.151,672325.1,5493854,-3371.491
10,010,3537.5,32.5,34.314,0.575,102.056,78.182,5.495,3533.593,672325.7,5493854,-3383.933
10,010,3550,35,36.814,0.575,102.722,79.178,5.5,3546.036,672326.4,5493856,-3396.376
10,010,3562.5,37.608,39.422,0.849,103.447,80.164,5.745,3558.476,672327.1,5493856,-3408.816
10,010,3575,40,41.814,0.849,104.249,81.16,6,3570.91,672327.9,5493858,-3421.25
10,010,3587.5,37.608,39.422,0.849,105.05,82.156,5.745,3583.344,672328.7,5493858,-3433.684
10,010,3600,35,36.814,0.849,105.776,83.142,5.5,3595.784,672329.4,5493860,-3446.124
10,010,3800,35,36.814,0,116.77,98.844,5.5,3794.864,672340.4,5493875,-3645.204
10,010,4006,35,36.814,0,128.095,115.017,5.5,3999.915,672351.8,5493891,-3850.255
